"protein","repeatID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cutoff","1pt688_SAT",2412.44083120357,-0.0867805850986556,0.669691731655807,-0.129582882685577,0.896896446685665,0.999618675316985
"Deadlock","1pt688_SAT",1912.25025938909,0.295483587916458,0.674173960464836,0.438289826134378,0.661176200076396,0.998380646089855
"Moonshiner","1pt688_SAT",2428.00918833453,-0.266223165949757,0.0861674743859144,-3.08960159093714,0.00200425149156046,0.0224235054093381
"Rhino","1pt688_SAT",2278.06412875524,-0.194832272291922,0.240134597986276,-0.811346111413136,0.417166936500145,0.99953629639074
