Rsp,ovary,620.9
Rsp,ovary,737.25
Rsp,ovary,356.47
Rsp,ovary,315
Rsp,testis,305.3
Rsp,testis,463.64
Rsp,head,9.05
Rsp,head,2.64
Rsp,head,0.72
Rsp,whole body,9.87
Rsp,whole body,21.98
1.688,ovary,13376.4
1.688,ovary,12472.2
1.688,ovary,14041.8
1.688,ovary,13945.3
1.688,testis,560.68
1.688,testis,4042.59
1.688,head,333.65
1.688,head,108.91
1.688,head,133.16
1.688,whole body,216.03
1.688,whole body,188.97
